Model Year,Regulatory Class,Vehicle Type,Production Share (%),Real-world MPG,Real-world MPG_City,Real-world MPG_Hwy,Real-world CO2 (g/mi),Real-world CO2_City (g/mi),Real-world CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
"1975","All","All","100","13.0597","12.01552","14.61167","680.59612","739.738","608.3116","4060.399","137.3346","-"
"1976","All","All","100","14.22136","13.18117","15.73946","625.02238","674.34147","564.74348","4079.198","135.0839","-"
"1977","All","All","100","15.06743","14.0058","16.60587","589.9988","634.71366","535.34732","3981.818","135.9847","-"
"1978","All","All","100","15.83777","14.68193","17.5239","561.62442","605.82637","507.59981","3715.238","129.0248","-"
"1979","All","All","100","15.91271","14.87711","17.39245","559.69495","598.63764","512.09833","3655.465","123.5922","-"
"1980","All","All","100","19.16493","17.61932","21.4665","465.93524","506.80269","415.98614","3227.876","103.8276","-"
"1981","All","All","100","20.52057","18.83051","23.04893","436.03635","475.18566","388.1872","3201.759","102.1236","-"
"1982","All","All","100","21.07205","19.20172","23.91969","424.63837","465.95156","374.14447","3201.843","102.9528","-"
"1983","All","All","100","20.95239","19.04058","23.88334","425.53494","468.23629","373.34441","3257.34","106.9483","-"
"1984","All","All","100","21.00023","19.05715","23.9898","424.02812","467.2359","371.2186","3261.576","108.5963","-"
"1985","All","All","100","21.31942","19.31764","24.41114","417.30522","460.53346","364.47071","3271.127","114.1306","-"
"1986","All","All","100","21.84433","19.75389","24.99472","407.03768","450.10437","355.74272","3237.974","114.3758","-"
"1987","All","All","100","21.97197","19.75719","25.26006","404.60524","449.95539","351.9451","3220.507","117.6397","-"
"1988","All","All","100","21.86353","19.57179","25.20576","406.51876","454.11969","352.61548","3283.465","123.469","-"
"1989","All","All","100","21.42049","19.07833","24.78156","414.92705","465.86478","358.65232","3351.457","128.748","-"
"1990","All","All","100","21.15752","18.72132","24.61039","420.08667","474.75185","361.14877","3426.038","135.3422","-"
"1991","All","All","100","21.25642","18.75908","24.71816","418.15476","473.82065","359.59491","3409.555","137.9169","-"
"1992","All","All","100","20.79365","18.19781","24.36403","427.42784","488.39741","364.79234","3512.305","145.2572","-"
"1993","All","All","100","20.8794","18.22812","24.44455","425.63491","487.54351","363.55755","3518.93","146.8406","-"
"1994","All","All","100","20.37752","17.77373","23.78827","436.12068","500.01065","373.58978","3603.432","152.2823","-"
"1995","All","All","100","20.48563","17.7257","24.06812","433.83372","501.38187","369.25888","3612.509","158.1889","-"
"1996","All","All","100","20.43168","17.60332","24.0369","435.0069","504.89874","369.76297","3658.786","163.9606","-"
"1997","All","All","100","20.15038","17.35297","23.62041","441.06037","512.16145","376.26591","3727.285","169.2409","-"
"1998","All","All","100","20.09648","17.22728","23.59384","442.26071","515.91793","376.7046","3744.005","171.471","-"
"1999","All","All","100","19.69506","16.87145","23.04703","451.26399","526.78681","385.63273","3835.375","178.902","-"
"2000","All","All","100","19.76896","16.93153","23.04602","449.58574","524.92714","385.65762","3821.286","180.9861","-"
"2001","All","All","100","19.62363","16.80797","22.78645","452.92118","528.79289","390.05579","3879.288","186.9203","-"
"2002","All","All","100","19.45354","16.63745","22.54129","456.90374","534.23893","394.31726","3950.932","195.4821","-"
"2003","All","All","100","19.58451","16.67734","22.7148","453.84039","532.9512","391.29896","3998.835","198.5784","-"
"2004","All","All","100","19.2986","16.34174","22.43337","460.55651","543.88909","396.19983","4111.072","210.5212","-"
"2005","All","All","100","19.88375","16.78872","23.09573","447.07229","529.49006","384.89749","4059.441","209.0953","-"
"2006","All","All","100","20.1333","16.98233","23.41006","441.57021","523.49373","379.76825","4066.533","213.1841","-"
"2007","All","All","100","20.6039","17.38117","23.95452","431.37448","511.35658","371.0371","4093.315","216.9897","-"
"2008","All","All","100","20.96833","17.67455","24.39839","423.90716","502.90278","364.31397","4085.003","218.5559","48.85985"
"2009","All","All","100","22.40281","18.91546","26.03912","396.92541","470.1042","341.49614","3914.193","207.7209","47.93705"
"2010","All","All","100","22.59206","19.11219","26.1893","393.65429","465.33221","339.58148","4001.323","213.6361","48.54913"
"2011","All","All","100","22.28844","18.83713","25.86317","398.99558","472.11781","343.83319","4125.934","229.9718","49.54439"
"2012","All","All","100","23.56726","19.94624","27.30696","377.37349","445.90767","325.67226","3978.812","221.7796","48.81134"
"2013","All","All","100","24.18762","20.49686","27.98968","367.50525","433.7492","317.53174","4002.973","225.8506","49.08053"
"2014","All","All","100","24.11072","20.44059","27.88819","368.73754","435.00661","318.74508","4059.639","230.2484","49.72043"
"2015","All","All","100","24.64976","20.92864","28.46819","360.53783","424.73738","312.10658","4035.455","228.8536","49.4185"
"2016","All","All","100","24.72256","21.02826","28.4997","359.26636","422.47146","311.58533","4034.74","229.9726","49.51103"
"2017","All","All","100","24.88165","21.14761","28.70525","356.74451","419.85191","309.13717","4093.179","233.4764","49.82273"
"Prelim. 2018","All","All","100","25.37711","21.81291","28.94505","348.30936","405.51405","305.15495","4094.079","237.1561","49.99331"
